polled_at_utc,states
2026-09-22T16:50:14,VVVVVVOVvOVOOOOVOOOOoOOO?OVOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOVOVVOVVOOOOOOVVOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOVOOoOOOOOOOOOOoOOVOOOVVOVOOOVVOOOVVOOVVV?OOOVVVVoVOVVOVVOOOOoOoOOO?OOOVVVVOVVVVVVVVVVVOVVvVVVOVVVVVVV?OOOOOOOOOOOOOVVOOOOOVVOOOOVOVOOO
2026-09-22T16:55:16,VVVVVVOVvOOOOOOVOOOOoOOO?OOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVOOOOVOVVVVVOOOOOOVVOOOOOOOO?Oo?OOOOVOV?OVOOOOo?OOVOOoOOOOOVOOoOOOOOOOOOOoOOVOOOVVOVOOOVOOOOVVOOVVO?OOOVOVOoVVOOOVOOOOOoOoOOO?OOOVVVVOVVVVVVVVVVVVVVvVVVOVVVVVVV?OOOOOOOOOOOOOVVOOOOOVVVOOOVOVOOO
2026-09-22T17:00:19,VVVVVVOVvOVOOOOVOOOOoOOO?OOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVOOOOVOVVVVVOOOOOOVVOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOVOOOVVOVVOOVOOOOVOOOVVO?OOOVOOOoVOOOVVOOOOOoOoOOO?OOOVVOVOVVVVVVVVVVVVVVvVVVOVVVVVVO?OOOOOOOOOOOOOVVOOOOOVVVOVVVOVOOO
2026-09-22T17:05:16,OVVVVVOVvOOOOOOVOOOOoOOO?OOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVOOOOVOVVVVVOOOOOOVVOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOVoOOOOOOOOOOoOOOOOOVVOVVOOVOOOOVOOOVVO?OOOVOOOoOOOOOVOOOOOoOoOOO?OOOVVVVOVVVVVVVVVVVVVVvVVVOVVVVVVO?OOOOOOOOOOOOOVVOOOOOVVVOVVVOVOOO
2026-09-22T17:10:14,VVVVVVOVvOOOOOOVOOOOoOOO?OOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVOOOVVOVVVVVOOOOOOVVOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOVVOVVOOVOOOOVOOOVOO?OOOVOOOoOOVOOVOOOOOoOoOVO?OOOVVVVOVVVVVVVVVVVVVVvVVVOVVVVVVO?OOOOOOOOOOOOOVVOOOOOVVVOOVVOVOOO
2026-09-22T17:15:13,VVOVVVOVvOOOOOOVOOOOoOOO?OOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVOOOVOOVVVVVOOOOOOVVOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOVVOVVOOVOOOOVOOOVOO?OOOVOOVoOOVVOOOOOOOoOoOOO?OOOVVVVOVVVVVVVVVVVVVVvVVVOVVVVVVO?OOOOOOOVOOOOOVVOOOOOVVVOOVVOVOOO
2026-09-22T17:20:13,VVVVVVOVvOOOOOOVOOOOoOOO?OOOOOOVVOOOOOOOOOOOOOOOOOOVOOOVOOOVOOVVVVVOOOOOOVVOOOOOOOO?Oo?OOVOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOVVOVOOOVOVOOVOOOVOO?OOOVOOOoOOVOOVOOOOOoOoOOO?OOOVVVVOOVVVVVVVVVVVVVvVVOOVVVVVVO?OOOOOOOVOOOOOVVOOOOOVVVOOVVOVOOO
2026-09-22T17:25:14,VVVVVVOVvOVOOOOVOOOOoOOO?OOVOOOVVOOOOOOOOOOOOOOOOOOVOOOVOOOVOOVVVVVOOOOOOVVOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOVVVVVOOVOVOOVOOOVOO?OOOVOOOoOOVOOVOOOOOoOoOOO?OOOVVVVOVVOVVVVVVVVVVVvVVOOVVVVVVO?OOOOOOOVOOOOOVVOOOOOVVVOOVVOVOOO
2026-09-22T17:30:17,VVVVVVOVvOOOOOOVOOOOoOOO?OOVOOOVOOOOOOOOOOOOOOOOOOOVOOOVOOOVOOVVVVVOOOOOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOVOOOOOOoOOOOOOVVVVVOOVOVOOVOOOVOO?OOOVOOOoOOVOOVOOOOOoOoOVO?OOOVVVVOVVOVVOVVVVVVVVvVVVOVVVVVVO?OOOOOOOVOOOOOVVOOOOOVVVOOVOOVOOO
2026-09-22T17:35:13,VOOVVVOVvOVOOOOVOOOOoOOO?OOVOOOVOOOOOOOOOOOOOOOOOOOVOOOVOOOOOOVVVVVVOOOOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOVo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOVVVVVOOOOVOOVOOOVOO?OOOVOOOoOOVOOOOOOOOoOoOOO?OOOVVVVOVVOVVVVVVVVVVVvVVVOVVVVVVO?OOOOOOOVOOOOOVVOOOOOVVVOOVOOVOOO
2026-09-22T17:40:15,OVVVVVOVvOVOOOOVOOOOoOOO?OOVOOOVOOOOOOOOOOOOOOOOOOOVOOOVOOOOOOVVOVVVOOOOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOVo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOVOOOVVOVVOOOOVOOVOOOVOO?OOOVOOOoOOVOOOOOOOOoOoOOO?OOOVVVVOVVOVVVVVVVVVVVvVVVOVVVVVVO?OOOOOOOVOOOOOVVOOOOOVVOOOVOOVOOO
2026-09-22T17:45:14,OVVVVVOVvOVOOOOVOOOOoOOO?OOVOOOVOOOOOOOOOOOOOOOOOOOVOOOVOOOOOOVVOVVVOOOOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?VOVOOoOOOOOOOOoOOOOOOOOOOoOOVOOOVVOVVOOOOVOOVOOOOOO?OOOVOOOoOOOOOVOOOOOoOoOOO?OOOVVVVOVVVVVVVVVVVVVVvVVVOVVVVVVO?OOOOOOOVOOOOOVVOOOOOVVVOOVOOVOOO
2026-09-22T17:50:14,OVVVVVOVvOVOOOOOOOOOoOOO?OOVOOOVOOOOOOOOOOOOOOOOOOOVOOOVOOOOOOVVOVVVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOOVOVVOOOOVOOVOOOOOO?OOOVOOOoOOOOOVOOOOOoOoOOO?OVOVVVVOVVVVVVVVVVVVVVvVVVOVVVVVVO?OOOOOOOVOOOOOVVOOOOOVVVOOVOOVOOO
